iter	RMSE
0	0.1458339841
1	0.135207458
2	0.1255634116
3	0.1173608506
4	0.1102582531
5	0.1040085441
6	0.09839090509
7	0.09374829967
8	0.08948180103
9	0.08583296318
10	0.08264876879
11	0.08004083642
12	0.07788834193
13	0.0757702833
14	0.07397615478
15	0.07243092234
16	0.07112164624
17	0.06994012091
18	0.06888554113
19	0.0680252572
20	0.06723014168
21	0.06657118829
22	0.0659548994
23	0.06544898847
24	0.06496287322
25	0.06456452752
26	0.0641872543
27	0.06384650832
28	0.06354285957
29	0.06325268329
30	0.06298776807
31	0.06274933465
32	0.06254905064
33	0.06232399171
34	0.06209308974
35	0.06191119613
36	0.06171596359
37	0.06154491855
38	0.06137034597
39	0.06122984314
40	0.06106420555
41	0.06091737123
42	0.0607787751
43	0.06060974824
44	0.06046538557
45	0.06034714922
46	0.06024869164
47	0.06013638302
48	0.06004008918
49	0.05994408953
50	0.05984828393
51	0.05974498158
52	0.05962743609
53	0.05955354129
54	0.05944949851
55	0.05933250293
56	0.05924476115
57	0.05915390272
58	0.05908790221
59	0.0589537066
60	0.05885979044
61	0.05877829102
62	0.05864550244
63	0.05858137624
64	0.05847829239
65	0.05841430418
66	0.05832136698
67	0.05827566649
68	0.05819642815
69	0.05814452844
70	0.05807822064
71	0.05801936569
72	0.05794305304
73	0.0579028591
74	0.05784534177
75	0.05772915253
76	0.0576648897
77	0.05760661291
78	0.05756436097
79	0.0574877246
80	0.05742151135
81	0.0573662487
82	0.0573197884
83	0.05728126618
84	0.05718583529
85	0.05708851736
86	0.05704777734
87	0.05697362192
88	0.0569024151
89	0.05684723051
90	0.05677409869
91	0.05671892191
92	0.05667175668
93	0.05661593413
94	0.056585184
95	0.05655292781
96	0.05645344471
97	0.0563556526
98	0.05632165737
99	0.05629099023
100	0.05624497942
101	0.05619044223
102	0.05616555403
103	0.05612364811
104	0.05609156976
105	0.05605078623
106	0.05596447633
107	0.05592674741
108	0.0558629755
109	0.05579096027
110	0.0557104395
111	0.05564208412
112	0.05561506019
113	0.05556769248
